Date,Name,Grams by run,Time by run,Grams total,Time total
2023-02-01,Bubbler Datalog,0,0.0,7966.0,0.014513221826333855
2023-02-01,S194 Datalog,0,0.0,,
2023-06-16,S183 Datalog,0,0.0,,
2023-06-19,S184 Datalog,0,0.0,,
2023-06-21,S185 Datalog,0,0.0,,
2023-06-22,S186 Datalog,0,0.0,,
2023-06-23,S187 Datalog,0,0.0,,
2023-07-11,S188 Datalog,0,0.0,,
2023-07-12,S189 Datalog,0,0.0,,
2023-07-14,S190 Datalog,0,0.0,,
2023-09-01,S191 HT GaN Datalog,0,0.0,,
2024-01-25,Bake Datalog,0,0.0,,
2024-01-26,01 Idle Datalog,0,0.0,,
2024-01-26,02 Bake Datalog,0,0.0,,
2024-01-26,03 Transient Datalog,0,0.0,,
2024-01-29,01 Startup Datalog,0,0.0,,
2024-01-29,02 FSM Balance rev1 Fail Datalog,0,0.0,,
2024-01-29,03 FSM Balance rev2 Datalog,0,0.0,,
2024-01-29,04 Weekend Datalog,0,0.0,,
2024-01-30,S192 Datalog,0,0.0,,
2024-01-31,Bubbler Datalog,0,0.0,,
2024-01-31,S193 Datalog,0,0.0,,
2024-02-01,Bubbler Datalog,0,0.0,,
2024-02-01,S194 Datalog,0,0.0,,
2024-02-06,S195 Datalog,0,0.0,,
2024-02-13,S196 Datalog,0,0.0,,
2024-02-14,S197 Datalog,0,0.0,,
2024-02-21,Bake Datalog,0,0.0,,
2024-02-21,S198 Datalog,0,0.0,,
2024-02-21,S199 Datalog,0,0.0,,
2024-02-23,S200 Datalog,0,0.0,,
2024-02-23,S201 Datalog,0,0.0,,
2024-03-04,Long IDLE Datalog,0,0.0,,
2024-03-07,S202 Datalog,1440,0.0026659491008296132,,
2024-03-12,S204 Attempt 1 Datalog,0,0.0,,
2024-03-12,S204 Attempt 2 Datalog,0,0.0,,
2024-03-12,S205 Datalog,1440,0.0026602903173957473,,
2024-03-14,S206 Attempt 1 Datalog,0,0.0,,
2024-03-14,S206 Attempt 2 Datalog,0,0.0,,
2024-03-21,S208 Datalog,1442,0.002607133156193079,,
2024-03-26,S209 Datalog,0,0.0,,
2024-03-27,S210 Datalog,1440,0.0026013142818222547,,
2024-04-11,S211 Datalog,0,0.0,,
2024-04-30,S212 Datalog,0,0.0,,
2024-05-01,N2 BakeDatalog,0,0.0,,
2024-05-01,S213 Datalog,0,0.0,,
2024-05-03,S214 Datalog,0,0.0,,
2024-05-03,S215 Datalog,0,0.0,,
2024-05-03,S216 Datalog,0,0.0,,
2024-05-06,N2 Bake Datalog,0,0.0,,
2024-05-07,S217 Datalog,0,0.0,,
2024-05-07,S218 Datalog,0,0.0,,
2024-05-07,S219 Datalog,0,0.0,,
2024-05-08,N2 Bake Datalog,0,0.0,,
2024-05-08,S220 Datalog,0,0.0,,
2024-05-08,S221 Datalog,0,0.0,,
2024-05-15,Bake FailDatalog,0,0.0,,
2024-05-15,S222 Datalog,0,0.0,,
2024-05-16,N2 Bake LongDatalog,0,0.0,,
2024-05-16,S223 Datalog,0,0.0,,
2024-06-20,S251 Datalog,539,0.000972688208843998,,
2024-06-28,S256 Datalog,555,0.0010019728423782976,,
2024-06-28,S257 Datalog,555,0.0010018198907019637,,
2024-06-28,S258 Datalog,555,0.0010020540281689009,,
